Country,ISO_Code,Level,GDLCODE,Region,"2018"
"Algeria","DZA","Wealth quartiles","DZAw43","Third 25%",88.7
"Algeria","DZA","Wealth quartiles","DZAw44","Highest 25%",91.4
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",85.7
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",84.5
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",85.2
"Algeria","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",86.5
"Algeria","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",84.8
"Algeria","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",84.5
"Algeria","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",85.8
"Angola","AGO","National","AGOt","Total",40.9
"Angola","AGO","Urb/rur","AGOtu","Urban",56.4
"Angola","AGO","Urb/rur","AGOtr","Rural",16.4
"Angola","AGO","Poverty","AGOp1","Poor",19.9
"Angola","AGO","Poverty","AGOp0","Nonpoor",72.1
"Angola","AGO","Wealth quartiles","AGOw41","Lowest 25%",9.53
"Angola","AGO","Wealth quartiles","AGOw42","Second 25%",22.6
"Angola","AGO","Wealth quartiles","AGOw43","Third 25%",52.6
"Angola","AGO","Wealth quartiles","AGOw44","Highest 25%",78.9
"Angola","AGO","Subnat","AGOr218"," Bengo",33.8
"Angola","AGO","Subnat","AGOr209"," Benguela",35.3
"Angola","AGO","Subnat","AGOr211"," Bie",20.8
"Angola","AGO","Subnat","AGOr201"," Cabinda",53.9
"Angola","AGO","Subnat","AGOr216"," Cunene",23.4
"Angola","AGO","Subnat","AGOr210"," Huambo",30.8
"Angola","AGO","Subnat","AGOr215"," Huila",28.1
"Angola","AGO","Subnat","AGOr213"," Kuando Kubango",26.2
"Angola","AGO","Subnat","AGOr205"," Kuanza Norte",30.4
"Angola","AGO","Subnat","AGOr206"," Kuanza Sul",22.7
"Angola","AGO","Subnat","AGOr204"," Luanda",67.2
"Angola","AGO","Subnat","AGOr208"," Lunda Norte",28.1
"Angola","AGO","Subnat","AGOr217"," Lunda Sul",32.6
"Angola","AGO","Subnat","AGOr207"," Malange",34.0
"Angola","AGO","Subnat","AGOr212"," Moxico",24.1
"Angola","AGO","Subnat","AGOr214"," Namibe",38.6
"Angola","AGO","Subnat","AGOr203"," Uige",23.2
"Angola","AGO","Subnat","AGOr202"," Zaire",40.3
"Argentina","ARG","National","ARGt","Total",88.6
"Argentina","ARG","Urb/rur","ARGtu","Urban",88.6
"Argentina","ARG","Poverty","ARGp1","Poor",40.0
"Argentina","ARG","Poverty","ARGp0","Nonpoor",89.0
"Argentina","ARG","Wealth quartiles","ARGw41","Lowest 25%",75.8
"Argentina","ARG","Wealth quartiles","ARGw42","Second 25%",88.6
"Argentina","ARG","Wealth quartiles","ARGw43","Third 25%",92.6
"Argentina","ARG","Wealth quartiles","ARGw44","Highest 25%",96.7
"Argentina","ARG","Subnat","ARGr103","Catamarca, La Rioja, San Juan",88.7
"Argentina","ARG","Subnat","ARGr106","Chaco, Formosa",81.5
"Argentina","ARG","Subnat","ARGr107","Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",92.8
"Argentina","ARG","Subnat","ARGr101","City of Buenos Aires",92.9
"Argentina","ARG","Subnat","ARGr104","Cordoba",90.0
"Argentina","ARG","Subnat","ARGr105","Corrientes, Entre Rios, Misiones",87.5
"Argentina","ARG","Subnat","ARGr108","Jujuy, Salta",84.2
"Argentina","ARG","Subnat","ARGr109","La Pampa, San Luis, Mendoza",92.2
"Argentina","ARG","Subnat","ARGr102","Rest of Buenos Aires",87.2
"Argentina","ARG","Subnat","ARGr110","Santa Fe",90.1
"Argentina","ARG","Subnat","ARGr111","Santiago del Estero, Tucuman",87.2
"Armenia","ARM","National","ARMt","Total",86.2
"Armenia","ARM","Urb/rur","ARMtu","Urban",89.6
"Armenia","ARM","Urb/rur","ARMtr","Rural",80.7
"Armenia","ARM","Poverty","ARMp1","Poor",44.3
"Armenia","ARM","Poverty","ARMp0","Nonpoor",86.4
"Armenia","ARM","Wealth quartiles","ARMw41","Lowest 25%",76.7
"Armenia","ARM","Wealth quartiles","ARMw42","Second 25%",85.3
"Armenia","ARM","Wealth quartiles","ARMw43","Third 25%",90.0
"Armenia","ARM","Wealth quartiles","ARMw44","Highest 25%",92.8
"Armenia","ARM","Subnat","ARMr101","Aragatsotn",83.0
"Armenia","ARM","Subnat","ARMr102","Ararat",84.8
"Armenia","ARM","Subnat","ARMr103","Armavir",81.1
"Armenia","ARM","Subnat","ARMr104","Gegharkunik",79.9
"Armenia","ARM","Subnat","ARMr106","Kotayk",89.0
"Armenia","ARM","Subnat","ARMr105","Lori",81.8
"Armenia","ARM","Subnat","ARMr107","Shirak",85.6
"Armenia","ARM","Subnat","ARMr108","Syunik",85.9
"Armenia","ARM","Subnat","ARMr110","Tavush",85.2
"Armenia","ARM","Subnat","ARMr109","Vayots Dzor",85.8
"Armenia","ARM","Subnat","ARMr111","Yerevan",90.7
"Azerbaijan","AZE","National","AZEt","Total",
"Azerbaijan","AZE","Urb/rur","AZEtu","Urban",
"Azerbaijan","AZE","Urb/rur","AZEtr","Rural",
"Azerbaijan","AZE","Poverty","AZEp1","Poor",
"Azerbaijan","AZE","Poverty","AZEp0","Nonpoor",
"Azerbaijan","AZE","Wealth quartiles","AZEw41","Lowest 25%",
"Azerbaijan","AZE","Wealth quartiles","AZEw42","Second 25%",
"Azerbaijan","AZE","Wealth quartiles","AZEw43","Third 25%",
"Azerbaijan","AZE","Wealth quartiles","AZEw44","Highest 25%",
"Azerbaijan","AZE","Subnat","AZEr102","Absheron",
"Azerbaijan","AZE","Subnat","AZEr107","Aran",
"Azerbaijan","AZE","Subnat","AZEr101","Baku",
"Azerbaijan","AZE","Subnat","AZEr109","Dakhlik Shirvan",
"Azerbaijan","AZE","Subnat","AZEr103","Ganja Gazakh",
"Azerbaijan","AZE","Subnat","AZEr106","Guba Khachmaz",
"Azerbaijan","AZE","Subnat","AZEr105","Lankaran",
"Azerbaijan","AZE","Subnat","AZEr104","Shaki Zaqatala",
"Azerbaijan","AZE","Subnat","AZEr108","Yukhari Karabakh",
"Bangladesh","BGD","National","BGDt","Total",47.6
"Bangladesh","BGD","Urb/rur","BGDtu","Urban",60.9
"Bangladesh","BGD","Urb/rur","BGDtr","Rural",43.5
"Bangladesh","BGD","Poverty","BGDp1","Poor",34.2
"Bangladesh","BGD","Poverty","BGDp0","Nonpoor",67.1
"Bangladesh","BGD","Wealth quartiles","BGDw41","Lowest 25%",28.0
"Bangladesh","BGD","Wealth quartiles","BGDw42","Second 25%",38.2
"Bangladesh","BGD","Wealth quartiles","BGDw43","Third 25%",52.8
"Bangladesh","BGD","Wealth quartiles","BGDw44","Highest 25%",71.3
"Bangladesh","BGD","Subnat","BGDr214"," Bagerhat, Khulna, Satkhira",45.0
"Bangladesh","BGD","Subnat","BGDr204"," Bandarban, Cox s Bazar",35.5
"Bangladesh","BGD","Subnat","BGDr202"," Barguna, Bhola, Patuakhali",37.1
"Bangladesh","BGD","Subnat","BGDr201"," Barisal, Jhalokati, Pirojpur",43.4
"Bangladesh","BGD","Subnat","BGDr219"," Bogra, Gaibandha, Jaypurhat",42.7
"Bangladesh","BGD","Subnat","BGDr207"," Brahmanbaria, Chandpur, Comilla",52.4
"Bangladesh","BGD","Subnat","BGDr203"," Chittagong",56.3
"Bangladesh","BGD","Subnat","BGDr216"," Chuadanga, Jhenaidah, Kushtia, Meherpur",49.1
"Bangladesh","BGD","Subnat","BGDr208"," Dhaka",67.7
"Bangladesh","BGD","Subnat","BGDr220"," Dinajpur, Nilphamari, Panchagarh, Thakurgaon",43.1
"Bangladesh","BGD","Subnat","BGDr212"," Faridpur, Manikganj, Rajbari",45.0
"Bangladesh","BGD","Subnat","BGDr206"," Feni, Lakshmipur, Noakhali",47.4
"Bangladesh","BGD","Subnat","BGDr209"," Gazipur, Narayanganj, Narsingdi",54.7
"Bangladesh","BGD","Subnat","BGDr213"," Gopalganj, Madaripur, Munshiganj, Shariatpur",49.0
"Bangladesh","BGD","Subnat","BGDr223"," Habiganj, Sunamganj",39.4
"Bangladesh","BGD","Subnat","BGDr210"," Jamalpur, Sherpur, Tangail",43.7
"Bangladesh","BGD","Subnat","BGDr215"," Jessore, Magura, Narail",48.5
"Bangladesh","BGD","Subnat","BGDr205"," Khagrachhari, Rangamati (Chattagram)",36.6
"Bangladesh","BGD","Subnat","BGDr211"," Kishoreganj, Mymensingh, Netrakona",40.0
"Bangladesh","BGD","Subnat","BGDr221"," Kurigram, Lalmonirhat, Rangpur",38.3
"Bangladesh","BGD","Subnat","BGDr222"," Maulvibazar, Sylhet",50.4
"Bangladesh","BGD","Subnat","BGDr217"," Naogaon, Nawabganj, Rajshahi",45.4
"Bangladesh","BGD","Subnat","BGDr218"," Natore, Pabna, Sirajganj",44.0
"Barbados","BRB","National","BRBt","Total",91.4
"Barbados","BRB","Urb/rur","BRBtu","Urban",91.5
"Barbados","BRB","Urb/rur","BRBtr","Rural",91.2
"Barbados","BRB","Poverty","BRBp1","Poor",36.9
"Barbados","BRB","Poverty","BRBp0","Nonpoor",91.9
"Barbados","BRB","Wealth quartiles","BRBw41","Lowest 25%",81.6
"Barbados","BRB","Wealth quartiles","BRBw42","Second 25%",92.2
"Barbados","BRB","Wealth quartiles","BRBw43","Third 25%",94.9
"Barbados","BRB","Wealth quartiles","BRBw44","Highest 25%",96.9
"Barbados","BRB","Subnat","BRBr102","Christ Church and St. Philip",92.9
"Barbados","BRB","Subnat","BRBr101","St Michael",89.9
"Barbados","BRB","Subnat","BRBr103","St. James, St. George, and St. Thomas",92.9
"Barbados","BRB","Subnat","BRBr104","St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John",90.3
"Belarus","BLR","National","BLRt","Total",82.7
"Belarus","BLR","Urb/rur","BLRtu","Urban",86.3
"Belarus","BLR","Urb/rur","BLRtr","Rural",72.9
"Belarus","BLR","Poverty","BLRp1","Poor",41.1
"Belarus","BLR","Poverty","BLRp0","Nonpoor",83.7
"Belarus","BLR","Wealth quartiles","BLRw41","Lowest 25%",65.2
"Belarus","BLR","Wealth quartiles","BLRw42","Second 25%",84.1
"Belarus","BLR","Wealth quartiles","BLRw43","Third 25%",88.3
"Belarus","BLR","Wealth quartiles","BLRw44","Highest 25%",93.1
"Belarus","BLR","Subnat","BLRr101","Brest region",80.1
"Belarus","BLR","Subnat","BLRr103","Gomel region",80.2
"Belarus","BLR","Subnat","BLRr104","Grodno region",83.9
"Belarus","BLR","Subnat","BLRr105","Minsk region",86.3
"Belarus","BLR","Subnat","BLRr106","Mogilev region",78.5
"Belarus","BLR","Subnat","BLRr102","Vitebsk region",81.7
"Belize","BLZ","National","BLZt","Total",75.9
"Belize","BLZ","Urb/rur","BLZtu","Urban",82.3
"Belize","BLZ","Urb/rur","BLZtr","Rural",69.8
"Belize","BLZ","Poverty","BLZp1","Poor",34.8
"Belize","BLZ","Poverty","BLZp0","Nonpoor",81.4
"Belize","BLZ","Wealth quartiles","BLZw41","Lowest 25%",49.5
"Belize","BLZ","Wealth quartiles","BLZw42","Second 25%",77.2
"Belize","BLZ","Wealth quartiles","BLZw43","Third 25%",85.9
"Belize","BLZ","Wealth quartiles","BLZw44","Highest 25%",91.0
"Belize","BLZ","Subnat","BLZr102","Belize",81.5
"Belize","BLZ","Subnat","BLZr103","Cayo",56.5
"Belize","BLZ","Subnat","BLZr101","Corozal, Orange Walk",73.9
"Belize","BLZ","Subnat","BLZr104","Stann Creek, Toledo",77.4
"Benin","BEN","National","BENt","Total",36.4
"Benin","BEN","Urb/rur","BENtu","Urban",44.9
"Benin","BEN","Urb/rur","BENtr","Rural",29.9
"Benin","BEN","Poverty","BENp1","Poor",28.2
"Benin","BEN","Poverty","BENp0","Nonpoor",64.2
"Benin","BEN","Wealth quartiles","BENw41","Lowest 25%",18.3
"Benin","BEN","Wealth quartiles","BENw42","Second 25%",28.2
"Benin","BEN","Wealth quartiles","BENw43","Third 25%",38.6
"Benin","BEN","Wealth quartiles","BENw44","Highest 25%",60.4
"Benin","BEN","Subnat","BENr101","Atacora (incl Donga)",33.2
"Benin","BEN","Subnat","BENr102","Atlantique (incl Littoral (Cotonou))",46.9
"Benin","BEN","Subnat","BENr103","Borgou (incl Alibori)",32.4
"Benin","BEN","Subnat","BENr104","Mono (incl Couffo)",29.2
"Benin","BEN","Subnat","BENr105","Queme (incl Plateau)",37.6
"Benin","BEN","Subnat","BENr106","Zou (incl Collines)",35.3
"Bhutan","BTN","National","BTNt","Total",
"Bhutan","BTN","Urb/rur","BTNtu","Urban",
"Bhutan","BTN","Urb/rur","BTNtr","Rural",
"Bhutan","BTN","Poverty","BTNp1","Poor",
"Bhutan","BTN","Poverty","BTNp0","Nonpoor",
"Bhutan","BTN","Wealth quartiles","BTNw41","Lowest 25%",
"Bhutan","BTN","Wealth quartiles","BTNw42","Second 25%",
"Bhutan","BTN","Wealth quartiles","BTNw43","Third 25%",
"Bhutan","BTN","Wealth quartiles","BTNw44","Highest 25%",
"Bhutan","BTN","Subnat","BTNr101","Bumthang",
"Bhutan","BTN","Subnat","BTNr102","Chukha",
"Bhutan","BTN","Subnat","BTNr103","Dagana",
"Bhutan","BTN","Subnat","BTNr104","Gasa",
"Bhutan","BTN","Subnat","BTNr105","Haa",
"Bhutan","BTN","Subnat","BTNr106","Lhuntse",
"Bhutan","BTN","Subnat","BTNr107","Mongar",
"Bhutan","BTN","Subnat","BTNr108","Paro",
"Bhutan","BTN","Subnat","BTNr109","Pemagatshel",
"Bhutan","BTN","Subnat","BTNr110","Punakha",
"Bhutan","BTN","Subnat","BTNr111","Samdrup jongkhar",
"Bhutan","BTN","Subnat","BTNr112","Samtse",
"Bhutan","BTN","Subnat","BTNr113","Sarpang",
"Bhutan","BTN","Subnat","BTNr114","Thimphu",
"Bhutan","BTN","Subnat","BTNr115","Trashigang",
"Bhutan","BTN","Subnat","BTNr116","Trashiyangtse",
"Bhutan","BTN","Subnat","BTNr117","Trongsa",
"Bhutan","BTN","Subnat","BTNr118","Tsirang",
"Bhutan","BTN","Subnat","BTNr119","Wangdi",
"Bhutan","BTN","Subnat","BTNr120","Zhemgang",
"Bolivia","BOL","National","BOLt","Total",
"Bolivia","BOL","Urb/rur","BOLtu","Urban",
"Bolivia","BOL","Urb/rur","BOLtr","Rural",
"Bolivia","BOL","Poverty","BOLp1","Poor",
"Bolivia","BOL","Poverty","BOLp0","Nonpoor",
"Bolivia","BOL","Wealth quartiles","BOLw41","Lowest 25%",
"Bolivia","BOL","Wealth quartiles","BOLw42","Second 25%",
"Bolivia","BOL","Wealth quartiles","BOLw43","Third 25%",
"Bolivia","BOL","Wealth quartiles","BOLw44","Highest 25%",
"Bolivia","BOL","Subnat","BOLr108","Beni",
"Bolivia","BOL","Subnat","BOLr101","Chuquisaca",
"Bolivia","BOL","Subnat","BOLr103","Cochabamba",
"Bolivia","BOL","Subnat","BOLr102","La Paz",
"Bolivia","BOL","Subnat","BOLr104","Oruro",
"Bolivia","BOL","Subnat","BOLr109","Pando",
"Bolivia","BOL","Subnat","BOLr105","Potosi",
"Bolivia","BOL","Subnat","BOLr107","Santa Cruz",
"Bolivia","BOL","Subnat","BOLr106","Tarija",
"Bosnia and Herzegovina","BIH","National","BIHt","Total",91.3
"Bosnia and Herzegovina","BIH","Urb/rur","BIHtu","Urban",93.0
"Bosnia and Herzegovina","BIH","Urb/rur","BIHtr","Rural",90.2
"Bosnia and Herzegovina","BIH","Poverty","BIHp1","Poor",41.0
"Bosnia and Herzegovina","BIH","Poverty","BIHp0","Nonpoor",91.6
"Bosnia and Herzegovina","BIH","Wealth quartiles","BIHw41","Lowest 25%",82.0
"Bosnia and Herzegovina","BIH","Wealth quartiles","BIHw42","Second 25%",91.9
"Bosnia and Herzegovina","BIH","Wealth quartiles","BIHw43","Third 25%",94.6
"Bosnia and Herzegovina","BIH","Wealth quartiles","BIHw44","Highest 25%",96.4
"Bosnia and Herzegovina","BIH","Subnat","BIHr103","Central Bosnia",92.3
"Bosnia and Herzegovina","BIH","Subnat","BIHr102","Northern Bosnia",88.3
"Bosnia and Herzegovina","BIH","Subnat","BIHr105","Republica Srpska",89.9
"Bosnia and Herzegovina","BIH","Subnat","BIHr101","Western Bosnia",95.3
"Bosnia and Herzegovina","BIH","Subnat","BIHr104","Western herzegovina",93.9
"Botswana","BWA","National","BWAt","Total",59.1
"Botswana","BWA","Urb/rur","BWAtu","Urban",67.6
"Botswana","BWA","Urb/rur","BWAtr","Rural",44.4
"Botswana","BWA","Poverty","BWAp1","Poor",32.2
"Botswana","BWA","Poverty","BWAp0","Nonpoor",72.9
"Botswana","BWA","Wealth quartiles","BWAw41","Lowest 25%",27.2
"Botswana","BWA","Wealth quartiles","BWAw42","Second 25%",51.9
"Botswana","BWA","Wealth quartiles","BWAw43","Third 25%",67.2
"Botswana","BWA","Wealth quartiles","BWAw44","Highest 25%",90.9
"Botswana","BWA","Subnat","BWAr101","Central",55.3
"Botswana","BWA","Subnat","BWAr110","Chobe",56.2
"Botswana","BWA","Subnat","BWAr102","Ghanzi",52.9
"Botswana","BWA","Subnat","BWAr103","Kgalagadi",54.3
"Botswana","BWA","Subnat","BWAr104","Kgatleng",61.3
"Botswana","BWA","Subnat","BWAr105","Kweneng",56.2
"Botswana","BWA","Subnat","BWAr106","North-East",64.2
"Botswana","BWA","Subnat","BWAr107","North-West, Ngamiland",49.6
"Botswana","BWA","Subnat","BWAr108","South-East",73.5
"Botswana","BWA","Subnat","BWAr109","Southern",56.1
"Brazil","BRA","National","BRAt","Total",
"Brazil","BRA","Urb/rur","BRAtu","Urban",
"Brazil","BRA","Urb/rur","BRAtr","Rural",
"Brazil","BRA","Poverty","BRAp1","Poor",
"Brazil","BRA","Poverty","BRAp0","Nonpoor",
"Brazil","BRA","Wealth quartiles","BRAw41","Lowest 25%",
"Brazil","BRA","Wealth quartiles","BRAw42","Second 25%",
"Brazil","BRA","Wealth quartiles","BRAw43","Third 25%",
"Brazil","BRA","Wealth quartiles","BRAw44","Highest 25%",
"Brazil","BRA","Subnat","BRAr102","Acre",
"Brazil","BRA","Subnat","BRAr114","Alagoas",
"Brazil","BRA","Subnat","BRAr106","Amapa",
"Brazil","BRA","Subnat","BRAr103","Amazonas",
"Brazil","BRA","Subnat","BRAr116","Bahia",
"Brazil","BRA","Subnat","BRAr110","Ceara",
"Brazil","BRA","Subnat","BRAr127","Distrito Federal",
"Brazil","BRA","Subnat","BRAr118","Espirito Santo",
"Brazil","BRA","Subnat","BRAr126","Goias",
"Brazil","BRA","Subnat","BRAr108","Maranhao",
"Brazil","BRA","Subnat","BRAr125","Mato Grosso",
"Brazil","BRA","Subnat","BRAr124","Mato Grosso do Sul",
"Brazil","BRA","Subnat","BRAr117","Minas Gerais",
"Brazil","BRA","Subnat","BRAr105","Para",
"Brazil","BRA","Subnat","BRAr112","Paraiba",
"Brazil","BRA","Subnat","BRAr121","Parana",
"Brazil","BRA","Subnat","BRAr113","Pernambuco",
"Brazil","BRA","Subnat","BRAr109","Piaui",
"Brazil","BRA","Subnat","BRAr119","Rio de Janeiro",
"Brazil","BRA","Subnat","BRAr111","Rio Grande do Norte",
"Brazil","BRA","Subnat","BRAr123","Rio Grande do Sul",
"Brazil","BRA","Subnat","BRAr101","Rondonia",
"Brazil","BRA","Subnat","BRAr104","Roraima",
"Brazil","BRA","Subnat","BRAr122","Santa Catarina",
"Brazil","BRA","Subnat","BRAr120","Sao Paulo",
"Brazil","BRA","Subnat","BRAr115","Sergipe",
"Brazil","BRA","Subnat","BRAr107","Tocantins",
"Burkina Faso","BFA","National","BFAt","Total",
"Burkina Faso","BFA","Urb/rur","BFAtu","Urban",
"Burkina Faso","BFA","Urb/rur","BFAtr","Rural",
"Burkina Faso","BFA","Poverty","BFAp1","Poor",
"Burkina Faso","BFA","Poverty","BFAp0","Nonpoor",
"Burkina Faso","BFA","Wealth quartiles","BFAw41","Lowest 25%",
"Burkina Faso","BFA","Wealth quartiles","BFAw42","Second 25%",
"Burkina Faso","BFA","Wealth quartiles","BFAw43","Third 25%",
"Burkina Faso","BFA","Wealth quartiles","BFAw44","Highest 25%",
"Burkina Faso","BFA","Subnat","BFAr101","Boucle de Mouhoun",
"Burkina Faso","BFA","Subnat","BFAr102","Cascades",
"Burkina Faso","BFA","Subnat","BFAr103","Centre (incl Ouagadougou)",
"Burkina Faso","BFA","Subnat","BFAr104","Centre-Est",
"Burkina Faso","BFA","Subnat","BFAr105","Centre-Nord",
"Burkina Faso","BFA","Subnat","BFAr106","Centre-Ouest",
"Burkina Faso","BFA","Subnat","BFAr107","Centre-Sud",
"Burkina Faso","BFA","Subnat","BFAr108","Est",
"Burkina Faso","BFA","Subnat","BFAr109","Hauts Bassins",
"Burkina Faso","BFA","Subnat","BFAr110","Nord",
"Burkina Faso","BFA","Subnat","BFAr111","Plateau Central",
"Burkina Faso","BFA","Subnat","BFAr112","Sahel",
"Burkina Faso","BFA","Subnat","BFAr113","Sud-Ouest",
"Burundi","BDI","National","BDIt","Total",21.7
"Burundi","BDI","Urb/rur","BDItu","Urban",46.0
"Burundi","BDI","Urb/rur","BDItr","Rural",18.7
"Burundi","BDI","Poverty","BDIp1","Poor",18.9
"Burundi","BDI","Poverty","BDIp0","Nonpoor",67.8
"Burundi","BDI","Wealth quartiles","BDIw41","Lowest 25%",9.51
"Burundi","BDI","Wealth quartiles","BDIw42","Second 25%",16.0
"Burundi","BDI","Wealth quartiles","BDIw43","Third 25%",21.3
"Burundi","BDI","Wealth quartiles","BDIw44","Highest 25%",39.9
"Burundi","BDI","Subnat","BDIr103","East (Cankuzo, Rutana, Ruyigi )",19.1
"Burundi","BDI","Subnat","BDIr105","Middle (Gitega, Karuzi, Muramvya, Mwaro)",20.6
"Burundi","BDI","Subnat","BDIr101","North (Kayanza, Kirundo, Muyinga, Ngozi)",17.0
"Burundi","BDI","Subnat","BDIr102","South (Bururi, Makamba)",24.3
"Burundi","BDI","Subnat","BDIr104","West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)",29.0
"Cambodia","KHM","National","KHMt","Total",52.3
"Cambodia","KHM","Urb/rur","KHMtu","Urban",77.8
"Cambodia","KHM","Urb/rur","KHMtr","Rural",48.0
"Cambodia","KHM","Poverty","KHMp1","Poor",34.3
"Cambodia","KHM","Poverty","KHMp0","Nonpoor",69.4
"Cambodia","KHM","Wealth quartiles","KHMw41","Lowest 25%",29.4
"Cambodia","KHM","Wealth quartiles","KHMw42","Second 25%",43.3
"Cambodia","KHM","Wealth quartiles","KHMw43","Third 25%",58.4
"Cambodia","KHM","Wealth quartiles","KHMw44","Highest 25%",78.2
"Cambodia","KHM","Subnat","KHMr101","Banteay Mean Chey",58.2
"Cambodia","KHM","Subnat","KHMr113","Bat Dambang-Krong Pailin",57.7
"Cambodia","KHM","Subnat","KHMr102","Kampong Cham (incl Tboung Khmum)",47.9
"Cambodia","KHM","Subnat","KHMr103","Kampong Chhnang",45.7
"Cambodia","KHM","Subnat","KHMr104","Kampong Spueu",47.2
"Cambodia","KHM","Subnat","KHMr105","Kampong Thum",45.6
"Cambodia","KHM","Subnat","KHMr114","Kampot-Krong Kaeb-Krong Preah Sihanouk",48.4
"Cambodia","KHM","Subnat","KHMr106","Kandal",57.4
"Cambodia","KHM","Subnat","KHMr107","Kaoh Kong",58.8
"Cambodia","KHM","Subnat","KHMr116","Mondol Kiri-Rotanak Kiri",47.6
"Cambodia","KHM","Subnat","KHMr108","Phnom Penh",80.3
"Cambodia","KHM","Subnat","KHMr110","Pousat",42.8
"Cambodia","KHM","Subnat","KHMr115","Preah Vihear-Stueng Traeng-Kracheh",40.7
"Cambodia","KHM","Subnat","KHMr109","Prey Veaeng",50.9
"Cambodia","KHM","Subnat","KHMr117","Siem Reab-Otdar Mean Chey",47.8
"Cambodia","KHM","Subnat","KHMr111","Svay Rieng",49.7
